second	id	x	y	z
2417	1	-448.2987	-0.6139	52460.4581	0
2418	1	-448.2909	-0.6139	52460.4577	0
2419	1	-448.2870	-0.6139	52460.4512	0
2420	1	-448.2817	-0.6139	52460.4356	0
2421	1	-448.2772	-0.6139	52460.4365	0
2422	1	-448.2654	-0.6139	52460.4438	0
2423	1	-448.2544	-0.6139	52460.4467	0
2424	1	-448.2408	-0.6139	52460.4479	0
2425	1	-448.2225	-0.6139	52460.4418	0
2426	1	-448.2116	-0.6139	52460.4330	0
2427	1	-448.2033	-0.6139	52460.4232	0
2428	1	-448.1855	-0.6139	52460.4262	0
2429	1	-448.1830	-0.6139	52460.4209	0
2430	1	-448.1775	-0.6139	52460.4125	0
2431	1	-448.1726	-0.6139	52460.4029	0
2432	1	-448.1651	-0.6139	52460.4059	0
2433	1	-448.1587	-0.6139	52460.4007	0
2434	1	-448.1419	-0.6139	52460.4055	0
2435	1	-448.1238	-0.6139	52460.4074	0
2436	1	-448.1105	-0.6139	52460.4016	0
2437	1	-448.0879	-0.6139	52460.3996	0
2438	1	-448.0792	-0.6139	52460.3989	0
2439	1	-448.0637	-0.6139	52460.3988	0
2440	1	-448.0465	-0.6139	52460.4055	0
2441	1	-448.0341	-0.6139	52460.4148	0
2442	1	-448.0287	-0.6139	52460.4250	0
2443	1	-448.0227	-0.6139	52460.4153	0
2444	1	-448.0136	-0.6139	52460.4184	0
2445	1	-448.0124	-0.6139	52460.4196	0
2455	1	-447.8381	-0.6139	52460.3807	0
2456	1	-447.8298	-0.6139	52460.3791	0
2457	1	-447.8070	-0.6139	52460.3850	0
2458	1	-447.7898	-0.6139	52460.3941	0
2459	1	-447.7484	-0.6139	52460.3910	0
2460	1	-447.7355	-0.6139	52460.3763	0
2461	1	-447.7218	-0.6139	52460.3511	0
2462	1	-447.7017	-0.6139	52460.3419	0
2463	1	-447.6735	-0.6139	52460.3517	0
2464	1	-447.6467	-0.6139	52460.3559	0
2465	1	-447.6241	-0.6139	52460.3575	0
2466	1	-447.6151	-0.6139	52460.3583	0
2467	1	-447.6081	-0.6139	52460.3587	0
2468	1	-447.6067	-0.6139	52460.3522	0
2469	1	-447.6099	-0.6139	52460.3499	0
2470	1	-447.6190	-0.6139	52460.3358	0
2471	1	-447.5982	-0.6139	52460.3438	0
2472	1	-447.5770	-0.6139	52460.3404	0
2473	1	-447.5436	-0.6139	52460.3393	0
2474	1	-447.5107	-0.6139	52460.3323	0
2475	1	-447.4730	-0.6139	52460.3231	0
2476	1	-447.4541	-0.6139	52460.3132	0
2477	1	-447.4296	-0.6139	52460.3226	0
2478	1	-447.4182	-0.6139	52460.3133	0
2479	1	-447.4131	-0.6139	52460.3034	0
2480	1	-447.4043	-0.6139	52460.2931	0
2481	1	-447.4130	-0.6139	52460.3094	0
2482	1	-447.4236	-0.6139	52460.3023	0
2483	1	-447.4070	-0.6139	52460.3064	0
2484	1	-447.3895	-0.6139	52460.3081	0
2485	1	-447.3755	-0.6139	52460.3021	0
2486	1	-447.3515	-0.6139	52460.2933	0
2487	1	-447.3154	-0.6139	52460.2834	0
2488	1	-447.2913	-0.6139	52460.2864	0
2489	1	-447.2754	-0.6139	52460.2877	0
2490	1	-447.2735	-0.6139	52460.2883	0
2491	1	-447.2706	-0.6139	52460.2887	0
2492	1	-447.2764	-0.6139	52460.2823	0
2495	1	-447.2736	-0.6139	52460.2791	0
2496	1	-447.2723	-0.6139	52460.2791	0
2497	1	-447.2459	-0.6139	52460.2790	0
2498	1	-447.2327	-0.6139	52460.2723	0
